,city,country,id,date,latitude,longitude,temp,cloudiness,wind speed,humidity
0,Vaini,IN,1273574,10/28/19 13:17,15.34,74.49,69.566,85,1.26,92
1,Buraydah,SA,107304,10/28/19 13:18,26.33,43.97,80.6,20,7.2,74
2,Carnarvon,ZA,1014034,10/28/19 13:16,-30.97,22.13,47.06600000000001,0,9.83,39
3,Wajir,KE,178443,10/28/19 13:18,1.75,40.07,84.2,32,4.96,70
4,Berehove,UA,712423,10/28/19 13:18,48.21,22.65,49.64000000000002,75,2.1,87
5,Chapais,CA,5919850,10/28/19 13:18,49.78,-74.86,39.2,90,4.6,100
6,Upernavik,GL,3418910,10/28/19 13:18,72.79,-56.15,26.99600000000005,99,3.91,96
7,Rikitea,PF,4030556,10/28/19 13:15,-23.12,-134.97,71.6,86,7.98,83
8,Busselton,AU,2075265,10/28/19 13:15,-33.64,115.35,51.854000000000056,100,4.83,46
9,Saint-Joseph,FR,3037456,10/28/19 13:18,43.56,6.97,63.59000000000002,99,2.99,82
10,Hithadhoo,MV,1282256,10/28/19 13:16,-0.6,73.08,82.41800000000009,100,2.08,71
11,Coihaique,CL,3894426,10/28/19 13:18,-45.58,-72.07,47.01200000000006,75,3.1,75
12,Batemans Bay,AU,2176639,10/28/19 13:18,-35.71,150.18,43.088000000000044,11,1.92,88
13,Longyearbyen,NO,2729907,10/28/19 13:18,78.22,15.63,17.6,75,3.1,72
14,La Ronge,CA,6050066,10/28/19 13:18,55.1,-105.3,17.6,90,4.6,78
15,Havelock,US,4470244,10/28/19 13:18,34.88,-76.9,75.16400000000003,1,7.2,53
16,New Norfolk,AU,2155415,10/28/19 13:18,-42.78,147.06,50.432000000000016,100,5.7,40
20,Verkhniy Tagil,RU,474821,10/28/19 13:18,57.37,59.96,34.088000000000044,76,7.91,94
21,Kropotkin,RU,540761,10/28/19 13:18,45.43,40.58,55.004000000000055,0,2.12,75
22,Beyla,GN,2423126,10/28/19 13:18,8.69,-8.65,73.45400000000005,33,0.76,88
23,Oxford,US,4081914,10/28/19 13:15,33.61,-85.83,63.53600000000007,1,0.88,77
24,Puerto Ayora,EC,3652764,10/28/19 13:16,-0.74,-90.35,73.83200000000002,75,3.6,61
25,Punta Arenas,CL,3874787,10/28/19 13:15,-53.16,-70.91,44.38399999999999,40,6.2,39
26,Hilo,US,5855927,10/28/19 13:13,19.71,-155.08,64.20200000000008,90,2.1,83
27,Guaruja,BR,3461789,10/28/19 13:15,-23.99,-46.26,88.05200000000008,75,6.7,37
28,Ngunguru,NZ,2186111,10/28/19 13:18,-35.62,174.5,55.99400000000007,100,3.45,92
30,Mataura,NZ,6201424,10/28/19 13:15,-46.19,168.86,42.008,67,0.45,88
31,Eenhana,NA,3357804,10/28/19 13:18,-17.48,16.34,95.0,12,4.1,17
32,Cape Town,ZA,3369157,10/28/19 13:14,-33.93,18.42,57.90200000000008,75,9.3,62
33,Nyurba,RU,2018735,10/28/19 13:18,63.29,118.35,12.074000000000012,47,1.55,91
34,Sur,OM,286245,10/28/19 13:18,22.57,59.53,80.54600000000005,7,6.65,53
35,Laguna,BZ,3581398,10/28/19 13:16,16.17,-88.94,84.2,40,2.1,79
36,Stephenville,CA,6156244,10/28/19 13:18,48.55,-58.59,44.20400000000005,20,3.1,70
38,Hobart,AU,2163355,10/28/19 13:18,-42.88,147.33,50.41400000000003,100,5.7,40
39,Palana,RU,2122262,10/28/19 13:18,59.08,159.95,32.21600000000001,100,0.56,67
40,Ponta do Sol,BR,3453439,10/28/19 13:18,-20.63,-46.0,84.92000000000006,51,2.18,47
41,Batagay-Alyta,RU,2027042,10/28/19 13:18,67.8,130.41,-5.0799999999999415,77,1.73,88
42,Aguimes,ES,2522325,10/28/19 13:18,27.91,-15.45,79.05200000000008,34,1.5,51
43,Chicama,PE,3698359,10/28/19 13:18,-7.84,-79.15,66.2,40,5.7,77
44,Mlonggo,ID,1635164,10/28/19 13:18,-6.53,110.7,82.4,20,1.0,61
47,Baherden,TM,162158,10/28/19 13:18,38.44,57.43,61.483999999999995,99,4.03,21
48,Bambanglipuro,ID,1650434,10/28/19 13:18,-7.95,110.28,71.51000000000008,99,1.26,93
49,Usinsk,RU,863061,10/28/19 13:18,66.0,57.56,16.988000000000046,91,4.95,95
51,Norman Wells,CA,6089245,10/28/19 13:18,65.28,-126.83,21.2,75,9.8,67
52,Puerto Colombia,CO,3671497,10/28/19 13:18,10.99,-74.96,87.60200000000007,75,2.6,70
53,Nata,BW,933238,10/28/19 13:18,-20.21,26.19,94.442,70,4.63,17
54,Ushuaia,AR,3833367,10/28/19 13:16,-54.81,-68.31,42.96200000000006,20,8.7,75
55,Esperance,AU,2071860,10/28/19 13:18,-33.86,121.89,57.2,90,5.1,76
56,Nanortalik,GL,3421765,10/28/19 13:18,60.14,-45.24,39.84800000000003,100,0.38,81
57,Bredasdorp,ZA,1015776,10/28/19 13:15,-34.53,20.04,51.8,19,9.8,62
